column,agent,avg_min_sanity3,avg_min_hard5,avg_min_extended16,avg_min_all24,ctx,sampling,timeout_aware,display,url,page
k27_q2_2bit,custom tool-aware solver (pre-CLI),14.1,27.7,98.0,72.9,262144,temp 1.0 / top-p 0.95,,K2.7-Code Q2 (baseline),https://huggingface.co/unsloth/Kimi-K2.7-Code-GGUF,models/k27-q2-toolaware.md
kimik3_reap640_iq1s,Kimi Code CLI,67.7,167.3,,,131072,temp 1.0 / top-p 0.95,1,K3 REAP640 IQ1_S,https://huggingface.co/hellohazime/Kimi-K3-REAP-512GB-GGUF,models/kimik3-reap640-iq1s-kimicode.md
kimik3_reap576_iq2xxs,Kimi Code CLI,63.9,134.5,157.4,140.9,131072,temp 1.0 / top-p 0.95,1,K3 REAP576 IQ2_XXS,https://huggingface.co/hellohazime/Kimi-K3-REAP-512GB-GGUF,models/kimik3-reap576-iq2xxs-kimicode.md
kimik3_streamed896_iq2xxs_18000s,Kimi Code CLI,185.0,,,,131072,temp 1.0 / top-p 0.95,,K3 full-896 streamed (cap 18000s),https://huggingface.co/unsloth/Kimi-K3-GGUF,models/kimik3-896-iq2xxs-streamed-kimicode.md
kimik3_streamed896_iq2xxs_18000s_attempt2,Kimi Code CLI,,,,,131072,temp 1.0 / top-p 0.95,,"K3 full-896 streamed, attempt 2",https://huggingface.co/unsloth/Kimi-K3-GGUF,models/kimik3-896-iq2xxs-streamed-kimicode.md
qwen38_a95b_udiq1s_10800s,Qwen Code CLI 0.21.10-0.21.11,130.3,140.0,,,131072,temp 1.0 / top-p 0.95 / top-k 20,1,Qwen3.8-2.4T UD-IQ1_S streamed,https://huggingface.co/unsloth/Qwen3.8-2.4T-A95B-GGUF,models/qwen38-a95b-udiq1s-qwencode.md
qwen38_reap256_iq1s_10800s,Qwen Code CLI 0.21.11,88.0,96.0,,,131072,temp 1.0 / top-p 0.95 / top-k 20,1,Qwen3.8 REAP-256GB,https://huggingface.co/hellohazime/Qwen3.8-2.4T-A95B-REAP-256GB-GGUF,models/qwen38-reap256-iq1s-qwencode.md
gemma4_31b_nvfp4_pi_promptv1,pi,4.3,6.6,6.6,6.2,131072,temp 1.0 / top-p 0.95,1,Gemma-4-31B NVFP4,https://huggingface.co/CISCai/gemma-4-31B-it-NVFP4-turbo-GGUF,models/gemma4-31b-nvfp4-pi.md
qwen38_27b_bf16_pi_promptv1,pi,15.0,48.0,47.9,43.8,131072,temp 1.0 / top-p 0.95,1,Qwen3.8-27B BF16,https://huggingface.co/unsloth/Qwen3.8-27B-GGUF,models/qwen38-27b-bf16-pi.md
qwen38_27b_bf16_qwencode_promptv1,Qwen Code CLI,13.7,31.2,31.4,29.1,131072,temp 1.0 / top-p 0.95,1,Qwen3.8-27B BF16 (Qwen Code),https://huggingface.co/unsloth/Qwen3.8-27B-GGUF,models/qwen38-27b-bf16-qwencode.md
qwen38_reap512_iq2xxs_10800s,Qwen Code CLI 0.21.11,24.3,,,,131072,temp 1.0 / top-p 0.95 / top-k 20,1,Qwen3.8 REAP-512GB (no counter-note),https://huggingface.co/hellohazime/Qwen3.8-2.4T-A95B-REAP-512GB-GGUF,models/qwen38-reap512-iq2xxs-qwencode.md
qwen38_reap512_iq2xxs_promptv1m_10800s,Qwen Code CLI 0.21.11,96.0,,,,131072,temp 1.0 / top-p 0.95 / top-k 20,1,Qwen3.8 REAP-512GB,https://huggingface.co/hellohazime/Qwen3.8-2.4T-A95B-REAP-512GB-GGUF,models/qwen38-reap512-iq2xxs-qwencode.md
